emp_no,first_name,last_name,birth_date,from_date,to_date,title
217800,Shay,Servieres,1965-02-01,1998-08-06,9999-01-01,Senior Staff
218022,Mokhtar,Poupard,1965-01-26,1992-02-02,9999-01-01,Technique Leader
218299,Almudena,Genin,1965-01-09,1986-09-26,2001-11-06,Staff
219035,Kristine,Bierman,1965-01-18,1988-05-13,9999-01-01,Technique Leader
219047,Aemilian,Kusalik,1965-01-30,1987-05-27,9999-01-01,Engineer
219417,Subhrajyoti,Denna,1965-01-29,1996-07-25,9999-01-01,Staff
220029,Demos,Asser,1965-01-17,1985-11-04,9999-01-01,Senior Engineer
220582,Poornachandra,Zielinski,1965-01-08,1996-02-13,9999-01-01,Senior Staff
220799,Perla,Orlowska,1965-01-17,1990-12-03,1998-10-13,Senior Engineer
221126,Tesuya,dAstous,1965-01-23,1988-11-29,9999-01-01,Engineer
221369,Abdulah,Pocchiola,1965-01-28,1996-08-28,9999-01-01,Engineer
221435,Djenana,Marrevee,1965-01-06,1994-02-06,9999-01-01,Senior Engineer
221699,Szabolcs,Georgatos,1965-01-15,1999-08-16,2000-02-06,Engineer
222206,Stein,Uludag,1965-01-21,1988-01-30,9999-01-01,Senior Staff
222311,Miyeon,Billingsley,1965-01-20,1992-12-05,9999-01-01,Senior Engineer
222952,Gopalakrishnan,Suermann,1965-01-28,1991-04-30,9999-01-01,Senior Engineer
222998,Leaf,Awdeh,1965-01-07,1985-02-20,1992-10-02,Staff
224335,Perry,Chachaty,1965-01-29,1985-07-22,9999-01-01,Engineer
224934,George,Miake,1965-01-05,1988-01-02,9999-01-01,Staff
225788,Ipke,Kieras,1965-01-08,1995-12-18,9999-01-01,Engineer
226227,Herbert,Erva,1965-01-07,1986-09-06,9999-01-01,Senior Engineer
227354,Gio,Murtha,1965-01-12,1986-11-11,9999-01-01,Senior Engineer
227476,Macha,Schnabel,1965-01-11,1988-05-11,9999-01-01,Engineer
228248,Yuriy,Plump,1965-01-09,1988-09-08,9999-01-01,Senior Staff
229098,Berry,Yurek,1965-01-08,1995-08-16,9999-01-01,Senior Staff
229207,Filipe,Erol,1965-01-30,1997-07-11,1999-08-15,Senior Engineer
229220,Fabrizio,Lichtman,1965-01-21,1987-02-09,9999-01-01,Engineer
229364,Dulce,Magliocco,1965-01-07,1987-02-13,1987-02-23,Staff
229547,Moni,Schach,1965-01-03,1986-07-04,9999-01-01,Senior Staff
229690,Mokhtar,Sherertz,1965-01-08,1988-06-09,1995-11-08,Senior Staff
229981,Jamaludin,Fordan,1965-01-19,1992-02-06,9999-01-01,Senior Engineer
230126,Bezalel,Radivojevic,1965-01-31,1988-07-02,9999-01-01,Staff
230689,Dietrich,Crabtree,1965-01-14,1986-05-24,9999-01-01,Senior Staff
230821,Toshiki,Raney,1965-01-20,1997-07-03,2000-03-21,Staff
230865,Takushi,Brattka,1965-01-02,1999-03-09,1999-06-03,Staff
231671,Chandrasekaran,Pearson,1965-01-07,1995-04-14,9999-01-01,Staff
231798,Goetz,Alvarado,1965-01-28,1988-12-25,9999-01-01,Engineer
232209,Nitsan,Rouquie,1965-01-11,1988-08-01,9999-01-01,Engineer
232496,Peternela,Klerer,1965-01-31,1986-06-06,1994-06-08,Staff
232697,Barry,Ramsak,1965-01-23,1990-09-07,9999-01-01,Engineer
233114,Alselm,Gargeya,1965-01-20,1987-12-25,9999-01-01,Senior Engineer
233247,Murthy,Angiulli,1965-01-18,1986-08-02,1998-07-21,Senior Engineer
233533,Seongbae,Sluis,1965-01-10,1988-09-22,1997-06-10,Senior Staff
233690,Cedric,Riefers,1965-01-17,1994-09-08,9999-01-01,Engineer
233759,Zissis,Lodder,1965-01-14,2000-05-27,9999-01-01,Engineer
233785,Baziley,Ballarin,1965-01-30,1987-07-28,9999-01-01,Staff
233818,Kellie,Heydon,1965-01-01,1985-11-11,9999-01-01,Engineer
234195,Luerbio,Terkki,1965-01-07,1991-05-14,9999-01-01,Senior Staff
234739,Foong,Aamodt,1965-01-31,1986-06-28,9999-01-01,Senior Engineer
235096,Sverrir,Gyimothy,1965-01-21,1995-07-30,9999-01-01,Staff
235368,Anneli,Joslin,1965-01-09,1987-04-12,9999-01-01,Senior Engineer
235546,Tianruo,Speer,1965-01-17,1985-10-30,1989-03-26,Staff
236559,Berna,Nanard,1965-01-20,1989-08-20,1991-03-18,Senior Engineer
236591,Insup,Reinhard,1965-01-11,1985-04-08,9999-01-01,Senior Staff
236964,Adel,Foote,1965-01-17,1998-08-19,2000-03-20,Staff
237400,Guadalupe,Perri,1965-01-24,1996-06-27,1999-08-21,Technique Leader
238252,Uno,Suppi,1965-01-09,1996-12-27,9999-01-01,Staff
238422,Vishv,Angelov,1965-01-10,1988-03-08,9999-01-01,Staff
238949,Minghong,Cronin,1965-01-09,1987-10-04,9999-01-01,Senior Staff
239067,Tadahiko,Pocchiola,1965-01-11,1996-04-02,9999-01-01,Staff
239244,Abdulla,Kitai,1965-01-13,1987-02-20,9999-01-01,Senior Staff
239581,Guangming,Marquardt,1965-01-18,1997-06-06,2001-03-21,Staff
239748,Bilhanan,Dusink,1965-01-23,1988-06-04,9999-01-01,Senior Staff
239803,Oscal,Ernst,1965-01-30,1992-05-19,9999-01-01,Senior Staff
240236,True,Tischendorf,1965-01-24,1986-01-19,9999-01-01,Senior Engineer
240253,Shrikanth,Ramaiah,1965-01-16,1995-05-12,2000-10-15,Engineer
240285,Kolar,Greenaway,1965-01-23,1998-11-14,9999-01-01,Staff
240340,Mack,Staylopatis,1965-01-14,1985-04-02,9999-01-01,Senior Engineer
240870,Francesca,Chorvat,1965-01-06,1985-03-03,1992-03-17,Staff
241254,Jagoda,Anguita,1965-01-15,1993-05-11,9999-01-01,Senior Engineer
241292,Uri,Lampe,1965-01-29,2001-12-11,9999-01-01,Senior Staff
241567,Emran,Miara,1965-01-18,1989-05-02,9999-01-01,Senior Engineer
241667,Atilio,Olivero,1965-01-28,1985-09-04,9999-01-01,Senior Engineer
241728,Limsoon,Boudaillier,1965-01-30,1999-08-08,9999-01-01,Senior Engineer
241872,Bluma,Fetvedt,1965-01-11,1992-02-03,2001-11-14,Staff
241917,Wuxu,Poupard,1965-02-01,1994-02-15,1995-09-25,Staff
242104,Richara,Sudkamp,1965-01-05,1989-09-05,9999-01-01,Senior Staff
242314,Miyeon,Burnard,1965-01-11,1985-02-07,1985-12-13,Engineer
243077,Kazunori,Perz,1965-02-01,1999-02-25,9999-01-01,Senior Engineer
243576,Abdulah,Lodder,1965-01-04,1996-11-10,9999-01-01,Senior Staff
243637,Marjo,Delgrange,1965-01-16,1990-06-24,9999-01-01,Senior Staff
244605,Masoud,Suwa,1965-01-22,1998-10-10,9999-01-01,Staff
244624,Boaz,Seuren,1965-01-31,1987-03-27,9999-01-01,Senior Staff
244820,Shigenori,Hertweck,1965-01-15,1987-04-13,9999-01-01,Engineer
244873,Arunachalam,Oppitz,1965-01-04,1986-05-20,9999-01-01,Senior Staff
245664,Manohar,Kilgore,1965-01-18,1998-11-17,9999-01-01,Staff
246146,Zhongwei,Melski,1965-01-30,1987-09-04,9999-01-01,Engineer
246764,Shuzo,Czaja,1965-01-04,1997-11-29,9999-01-01,Staff
246902,Shih,Shanbhogue,1965-01-27,1998-04-19,9999-01-01,Staff
247612,Chiranjit,Constantine,1965-01-04,1997-05-25,9999-01-01,Engineer
247888,Abdelghani,Lagarias,1965-01-15,1985-09-06,9999-01-01,Engineer
248351,Jaana,Milicia,1965-02-01,1985-06-02,9999-01-01,Senior Staff
249433,Ayonca,Matzov,1965-01-16,1988-06-03,9999-01-01,Engineer
249451,Gopalakrishnan,Pehl,1965-01-06,1995-03-15,2001-06-10,Engineer
249780,Nechama,Gaughan,1965-01-12,1986-01-16,1993-07-09,Assistant Engineer
250748,Kish,Turnbull,1965-01-27,1987-02-10,9999-01-01,Senior Engineer
251166,Hinrich,Hooghiemstra,1965-01-22,1985-10-05,9999-01-01,Senior Staff
251301,Pintsang,Impagliazzo,1965-01-30,1989-05-06,9999-01-01,Senior Staff
251341,Divier,Kumaresan,1965-01-11,1992-12-05,9999-01-01,Senior Staff
251680,Moty,Sommen,1965-01-05,1990-08-14,9999-01-01,Senior Engineer
252185,Chaosheng,Conta,1965-01-01,1997-04-14,9999-01-01,Assistant Engineer
252241,Zito,Alvarado,1965-01-15,1986-07-07,2000-09-18,Senior Staff
252318,Keung,Simmel,1965-01-30,1995-11-17,2002-06-24,Technique Leader
252592,Sachem,McDermid,1965-01-12,1987-04-30,1987-12-02,Senior Engineer
253707,Insup,Hainaut,1965-01-05,1998-02-11,9999-01-01,Staff
253838,Stafford,Terlouw,1965-01-28,1999-02-21,9999-01-01,Assistant Engineer
254591,Mamdouh,Lodder,1965-01-08,1986-03-23,1991-12-09,Staff
254916,Serenella,Couchot,1965-01-31,2001-01-25,2001-04-13,Senior Staff
255466,Huan,Roccetti,1965-01-18,1985-07-03,9999-01-01,Senior Engineer
255657,Oldrich,Cyre,1965-01-20,1985-02-10,9999-01-01,Senior Engineer
256078,Duke,Picaronny,1965-01-20,1995-03-23,1995-04-05,Staff
256856,Hongzue,Barbanera,1965-01-03,1987-06-17,9999-01-01,Senior Staff
256881,Ioana,Jakobus,1965-01-03,1990-08-10,9999-01-01,Senior Engineer
257378,Pascal,Bernatsky,1965-01-06,1988-09-03,9999-01-01,Senior Staff
257469,Anyuan,Hanratty,1965-01-22,1988-01-06,9999-01-01,Staff
257484,Shaowei,Nicolson,1965-01-01,1986-12-07,9999-01-01,Senior Staff
257799,Sushant,Riefers,1965-01-26,1987-12-05,1998-01-08,Senior Engineer
258363,Tayeb,Veevers,1965-01-17,1986-10-10,1991-05-24,Staff
259237,Palash,Gammage,1965-01-27,1987-10-23,9999-01-01,Staff
259718,Stepehn,Bouloucos,1965-01-24,1991-09-17,1993-12-13,Senior Staff
260249,Vugranam,Beausoleil,1965-01-22,1998-05-14,9999-01-01,Staff
260408,Sasan,Brookner,1965-01-19,1996-09-03,9999-01-01,Senior Staff
261184,Masako,Kornatzky,1965-01-30,1987-08-29,9999-01-01,Senior Engineer
261737,Mark,Lindqvist,1965-01-23,1990-11-22,9999-01-01,Engineer
262154,Wonhee,Vrecion,1965-01-16,1986-03-14,1996-08-28,Senior Engineer
262208,Mrinalini,Holburn,1965-01-16,1987-05-23,9999-01-01,Senior Staff
262210,Chinho,Bottner,1965-01-22,1985-07-29,9999-01-01,Engineer
262328,Mayuko,Vural,1965-01-03,1997-12-24,9999-01-01,Staff
262439,Lorien,Lagarias,1965-01-30,1985-10-10,9999-01-01,Senior Staff
262636,Tamiya,Reutenauer,1965-01-04,1985-06-02,1992-04-10,Senior Engineer
262741,Izaskun,Moffat,1965-01-19,1987-04-30,2001-08-14,Staff
262861,Kayoko,Attimonelli,1965-01-16,1992-10-14,1999-01-20,Senior Staff
263012,Hideo,Buchter,1965-01-09,1999-05-01,9999-01-01,Staff
263325,Dinkar,Sinicrope,1965-01-19,1985-07-12,1985-07-14,Staff
263439,Atreye,Kabayashi,1965-01-09,1986-12-15,9999-01-01,Senior Engineer
263649,Mechthild,Zongker,1965-01-17,1993-07-26,9999-01-01,Senior Staff
263926,Fusako,Schwartzbauer,1965-01-03,1985-04-07,9999-01-01,Staff
264030,Zdislav,Solares,1965-01-15,1990-12-14,9999-01-01,Assistant Engineer
264715,Siddarth,Luke,1965-01-04,1993-10-06,1994-07-06,Staff
264939,Bogdan,Bahi,1965-01-10,1999-02-13,9999-01-01,Engineer
265521,Kensei,Salverda,1965-01-04,1993-05-25,9999-01-01,Engineer
265558,Susuma,Kleiser,1965-01-31,1987-08-02,9999-01-01,Senior Staff
265794,Miquel,Halloran,1965-01-15,1994-01-14,9999-01-01,Staff
265875,Fan,Marsiglia,1965-01-20,1989-09-03,9999-01-01,Engineer
266206,Zsolt,Anily,1965-02-01,1985-08-19,9999-01-01,Staff
266310,Zvonko,Serdy,1965-01-23,1987-06-24,9999-01-01,Staff
266689,Parke,Serna,1965-01-24,1985-03-29,1999-09-23,Senior Engineer
266862,Mart,Plumb,1965-01-10,1986-04-21,9999-01-01,Senior Staff
266981,Toshimi,Kragelund,1965-01-26,1988-02-21,1994-07-05,Assistant Engineer
267667,Irena,Kaiserswerth,1965-01-05,1987-09-05,9999-01-01,Staff
268043,Narain,Mikschl,1965-01-28,1997-11-02,9999-01-01,Engineer
268191,LiMin,Teitelbaum,1965-01-07,1990-11-01,9999-01-01,Engineer
268890,Somnath,Uhrik,1965-01-04,1988-01-14,1994-12-09,Engineer
269186,Vitali,Dayang,1965-01-23,1988-09-21,1992-10-21,Technique Leader
269728,Naftali,Kragelund,1965-01-12,1987-05-16,9999-01-01,Senior Staff
270084,Ulises,Frolund,1965-01-11,1986-07-26,9999-01-01,Staff
270716,Shunichi,Baer,1965-01-19,1998-02-04,9999-01-01,Staff
270792,Domenico,Wendorf,1965-02-01,1990-09-10,1992-12-28,Engineer
270821,Hatem,Bierbaum,1965-01-21,1999-09-07,2000-03-26,Staff
271118,Somnath,Nitsche,1965-01-10,1987-08-15,1999-10-10,Senior Engineer
271975,Yuchang,Busillo,1965-01-14,1986-03-30,1989-11-14,Engineer
272141,Tsutomu,Neiman,1965-01-13,1996-07-31,9999-01-01,Staff
272285,Gully,Mitchem,1965-01-19,1986-01-22,9999-01-01,Senior Staff
273159,Divine,Hofmeyr,1965-01-26,1989-04-14,9999-01-01,Technique Leader
273274,Yolla,Kobara,1965-01-08,1995-12-29,1997-04-16,Engineer
273286,Brigham,Asmuth,1965-01-26,1989-01-23,9999-01-01,Engineer
273858,Gunilla,Matzen,1965-01-13,1990-12-28,9999-01-01,Staff
274271,Prodip,Ritcey,1965-01-10,1986-09-10,9999-01-01,Senior Staff
274369,Ranga,Waymire,1965-01-29,1997-01-27,9999-01-01,Senior Staff
275158,Satyanarayana,Brandsma,1965-01-07,1999-12-08,9999-01-01,Engineer
275801,Ayakannu,Heinisuo,1965-01-22,1986-06-28,9999-01-01,Senior Staff
275881,Jiann,Munro,1965-01-08,1988-05-18,9999-01-01,Senior Engineer
275994,Uma,Prampolini,1965-01-29,1991-02-21,9999-01-01,Senior Engineer
276027,Holgard,Stavenow,1965-01-04,1986-02-28,9999-01-01,Senior Staff
276186,Sajjad,Vecchi,1965-01-30,1993-06-02,9999-01-01,Senior Staff
276445,Atilio,Randi,1965-01-27,1988-07-02,9999-01-01,Senior Engineer
276472,Hideyuki,Flanders,1965-01-27,1988-11-10,9999-01-01,Engineer
276563,Gift,Solares,1965-01-01,1995-08-01,9999-01-01,Senior Staff
277829,Michaela,Fandrianto,1965-01-22,1986-06-02,9999-01-01,Senior Engineer
278239,Boaz,Bottner,1965-01-19,1994-02-06,9999-01-01,Staff
278452,Sudhanshu,Toyoshima,1965-01-07,1987-08-29,9999-01-01,Staff
278484,Koldo,Peternell,1965-01-25,1992-11-05,1993-04-06,Staff
279384,Hugo,Comte,1965-01-24,1992-06-30,1993-12-05,Senior Staff
279791,Chiranjit,Lyonns,1965-01-10,1986-12-24,9999-01-01,Assistant Engineer
280070,Niteen,Ebeling,1965-01-24,1988-03-29,9999-01-01,Senior Staff
280291,Lenore,Badache,1965-01-26,1998-11-24,9999-01-01,Staff
280411,Hironoby,Farrar,1965-01-18,1987-11-03,1996-11-12,Technique Leader
280420,Jahangir,Hofting,1965-01-31,1986-09-28,9999-01-01,Senior Staff
280648,Heeju,Lorys,1965-01-04,1986-12-27,9999-01-01,Engineer
281834,Fumitake,Marchegay,1965-01-16,1991-09-29,1997-06-12,Assistant Engineer
281848,Parke,Staylopatis,1965-01-29,1993-07-31,9999-01-01,Engineer
281859,Masanao,Papastamatiou,1965-01-17,1985-11-25,9999-01-01,Senior Engineer
282000,Hideo,Ratnakar,1965-01-06,1985-06-13,1998-03-20,Senior Engineer
282343,Xinglin,Haldar,1965-01-13,1988-07-20,9999-01-01,Staff
282699,Candida,Felcyn,1965-01-28,1986-08-04,2002-05-25,Assistant Engineer
283041,Nathalie,Foote,1965-01-04,1991-07-20,1992-06-20,Senior Engineer
283168,Sanjai,Kopetz,1965-01-15,1999-04-19,1999-05-21,Assistant Engineer
284431,Pintsang,Fujisawa,1965-01-25,1996-04-16,9999-01-01,Staff
284561,Duri,Beznosov,1965-01-03,1988-02-15,9999-01-01,Senior Engineer
284687,Oksana,Redmiles,1965-01-15,1985-06-22,9999-01-01,Senior Engineer
284691,Theron,Ressouche,1965-01-04,1988-08-17,9999-01-01,Engineer
284711,Martijn,Azevdeo,1965-01-21,1988-02-10,9999-01-01,Senior Engineer
284954,Anneke,Hammerschmidt,1965-01-16,1996-01-30,9999-01-01,Engineer
285396,Lena,Kohling,1965-01-27,1986-10-04,9999-01-01,Senior Engineer
287323,Steve,Dengi,1965-02-01,1999-09-15,9999-01-01,Staff
287436,Sasan,Deville,1965-01-02,1994-10-11,2001-04-25,Technique Leader
287583,Jovan,Hockney,1965-01-18,1990-06-21,9999-01-01,Engineer
287609,Sailaja,Negoita,1965-01-06,1988-01-20,9999-01-01,Engineer
287713,Aamod,Ranka,1965-01-23,1992-12-07,9999-01-01,Senior Staff
287984,Troy,Kobuchi,1965-01-09,1991-02-12,9999-01-01,Senior Engineer
288028,Kauko,Narwekar,1965-01-22,1985-12-16,9999-01-01,Senior Engineer
288560,Yifei,Birjandi,1965-01-16,1994-02-07,9999-01-01,Senior Staff
288665,Horward,Khasidashvili,1965-01-31,1998-11-19,9999-01-01,Senior Engineer
288893,Bedrich,Rosenbaum,1965-01-30,1991-01-27,9999-01-01,Engineer
289454,Bowen,Narwekar,1965-01-20,1985-03-08,9999-01-01,Senior Engineer
289687,Fai,Maccarone,1965-01-31,1985-10-30,9999-01-01,Staff
290010,Fox,Lodder,1965-01-11,1988-02-17,1994-01-29,Staff
290441,Gregory,Collavizza,1965-01-25,1987-09-09,9999-01-01,Senior Staff
290467,Shaowen,Poulakidas,1965-01-29,1987-04-15,9999-01-01,Senior Staff
290563,Shigehiro,Oxenboll,1965-01-09,1986-02-26,9999-01-01,Senior Engineer
291368,Gita,Rodier,1965-01-03,1990-08-24,1994-04-27,Staff
291612,Siamak,Gomatam,1965-01-30,1998-07-08,9999-01-01,Engineer
291669,Faiza,Bach,1965-01-04,1999-09-13,9999-01-01,Engineer
292515,Bernd,Thummel,1965-01-04,1989-08-03,9999-01-01,Engineer
292828,Ziya,Tokunaga,1965-01-10,1986-01-08,9999-01-01,Engineer
292901,Shuky,Journel,1965-01-02,1985-02-14,1995-04-27,Engineer
293080,Hideyuki,Slaats,1965-01-12,1987-05-30,9999-01-01,Senior Staff
293280,Moti,Steenbeek,1965-01-24,1987-01-22,9999-01-01,Engineer
293329,Fumiya,Griswold,1965-01-15,1986-06-12,9999-01-01,Engineer
293752,Jungsoon,Bail,1965-01-04,1986-02-18,9999-01-01,Senior Staff
294461,Siddarth,Rosiles,1965-01-14,1985-11-18,9999-01-01,Senior Engineer
294527,Ashish,Candan,1965-01-04,1992-02-02,9999-01-01,Senior Staff
294652,Hironobu,Brodie,1965-01-27,1998-12-21,9999-01-01,Engineer
294857,Caolyn,Ozeri,1965-01-15,1986-07-29,9999-01-01,Engineer
295030,Fun,Keirsey,1965-01-01,1985-07-09,9999-01-01,Senior Staff
295236,Kauko,Fujisawa,1965-01-24,1987-09-13,9999-01-01,Engineer
295254,Xuejun,Pfau,1965-01-15,1985-07-24,9999-01-01,Senior Staff
295255,Jacopo,Bellone,1965-01-04,1988-03-13,9999-01-01,Technique Leader
296303,Mariangiola,Heyers,1965-01-28,1992-08-04,9999-01-01,Technique Leader
296621,Bokyung,Plump,1965-01-02,1986-07-05,1989-04-27,Technique Leader
296664,Dipayan,Geffroy,1965-01-31,1987-09-17,9999-01-01,Senior Engineer
296718,Kamakshi,Bahl,1965-01-30,1987-12-22,9999-01-01,Senior Engineer
296962,Wilmer,Luke,1965-01-28,1987-02-13,1999-02-15,Technique Leader
297008,Boutros,Awdeh,1965-01-20,1985-11-07,1988-07-11,Staff
297232,Lokesh,Saoudi,1965-01-16,1999-05-25,9999-01-01,Senior Staff
297804,Vasilis,Ginneken,1965-01-16,1985-09-13,1990-04-08,Engineer
298339,King,Benzmuller,1965-01-11,1986-09-04,9999-01-01,Engineer
298577,Florina,Litecky,1965-01-11,1985-12-02,9999-01-01,Staff
299737,Patricio,Itzfeldt,1965-02-01,1985-05-21,9999-01-01,Senior Staff
400683,Kamakshi,Manders,1965-01-28,1995-08-05,9999-01-01,Staff
400780,Poornachandra,Asser,1965-01-09,1993-11-07,9999-01-01,Engineer
401154,Danae,Kragelund,1965-01-27,1987-05-20,9999-01-01,Senior Staff
401278,Oguz,Schurmann,1965-01-16,1986-11-11,9999-01-01,Assistant Engineer
401333,Martins,Shokrollahi,1965-01-30,1986-11-04,9999-01-01,Senior Engineer
401364,Pranay,Kambil,1965-01-16,1999-07-30,2002-04-06,Senior Staff
401420,Florian,Uhrig,1965-01-06,1987-01-31,9999-01-01,Senior Staff
401574,Yannik,Falco,1965-01-13,1988-01-15,9999-01-01,Technique Leader
402025,Shigehito,Duclos,1965-01-20,1987-09-20,9999-01-01,Senior Engineer
402664,Subhada,Janetzko,1965-01-04,1987-01-25,9999-01-01,Senior Engineer
402718,Jeanna,Rettelbach,1965-01-17,1990-02-14,9999-01-01,Engineer
402827,Weidon,Pollacia,1965-01-28,2002-03-24,9999-01-01,Senior Staff
403010,Toshimitsu,Sluis,1965-01-16,1985-02-18,9999-01-01,Senior Engineer
403237,Muneo,Gunderson,1965-01-01,1985-12-08,1993-09-19,Engineer
403455,Marko,Velardi,1965-01-25,1992-11-22,2001-08-27,Engineer
403621,Deborah,Kaminger,1965-01-07,1988-06-04,9999-01-01,Senior Staff
404236,Zengping,Kakkar,1965-01-12,1988-07-22,9999-01-01,Engineer
404462,Anestis,Setlzner,1965-01-09,1985-07-13,9999-01-01,Engineer
404788,Basem,Beausoleil,1965-01-16,1998-03-16,9999-01-01,Engineer
404879,Jeanne,Kaminger,1965-01-12,1987-07-21,1991-04-21,Engineer
405015,Morris,Fargier,1965-01-02,1988-06-29,9999-01-01,Senior Staff
405372,Masami,Merro,1965-01-24,1988-09-23,1999-08-31,Senior Staff
406125,Georgi,Portugali,1965-01-25,1987-09-27,9999-01-01,Technique Leader
406249,Naraig,Snyers,1965-01-23,1986-12-03,1992-05-19,Senior Engineer
406299,Kitty,Kolvik,1965-01-25,1991-10-07,1995-04-29,Engineer
406537,Martien,Ranum,1965-01-30,1993-03-15,1999-05-18,Senior Engineer
406714,Malu,Ossenbruggen,1965-02-01,1986-11-21,9999-01-01,Senior Staff
407837,Fei,Erez,1965-02-01,1988-04-02,9999-01-01,Senior Engineer
408019,Shridhar,Chleq,1965-01-01,1986-03-22,9999-01-01,Engineer
408654,Yongqiao,Cochrane,1965-01-09,1986-10-27,9999-01-01,Senior Staff
408953,Jolita,Claffy,1965-01-26,1993-12-24,9999-01-01,Senior Engineer
410028,Xiadong,McClurg,1965-01-11,1985-09-17,9999-01-01,Staff
410703,Kitty,Halloran,1965-01-14,1997-11-20,2002-01-18,Staff
410881,Koichi,Grabner,1965-01-06,1990-04-24,2000-04-05,Senior Engineer
411070,Otmar,Brandsma,1965-01-29,1987-05-28,9999-01-01,Engineer
413098,Hsiangchu,Taubenfeld,1965-01-26,1993-04-17,9999-01-01,Senior Staff
413205,Mototsugu,Prampolini,1965-01-09,1988-06-12,9999-01-01,Senior Staff
413666,Remco,Duclos,1965-01-05,1988-04-18,9999-01-01,Staff
414027,Tadanori,Msuda,1965-01-31,1988-11-06,1993-02-20,Engineer
414091,Wuxu,Kuhnemann,1965-01-17,1997-08-19,9999-01-01,Engineer
414543,Bernd,Anick,1965-01-03,1988-11-19,9999-01-01,Senior Engineer
414662,Ipke,Schneeberger,1965-01-21,1985-09-20,9999-01-01,Engineer
414808,Aris,Sambasivam,1965-01-05,1988-02-21,1998-05-20,Engineer
414922,Prasadram,Piazza,1965-01-20,1987-06-05,1997-11-04,Senior Engineer
415187,Juyoung,Peltason,1965-01-03,1998-09-01,9999-01-01,Assistant Engineer
415363,Conal,Shackell,1965-01-19,1995-02-23,9999-01-01,Senior Staff
415563,Mrinalini,Bierbaum,1965-01-21,1986-03-12,9999-01-01,Engineer
416074,Alain,Lieberherr,1965-01-08,1987-05-11,9999-01-01,Engineer
416420,Adamantios,Heemskerk,1965-01-22,1986-08-08,9999-01-01,Senior Staff
416455,Laurentiu,Morton,1965-01-22,1998-12-21,1999-12-23,Engineer
416492,Kannan,Meriste,1965-01-15,1992-08-12,9999-01-01,Senior Engineer
416660,Nathalie,Luke,1965-01-28,1987-09-16,9999-01-01,Assistant Engineer
416877,Gio,Orsini,1965-01-02,1988-12-07,9999-01-01,Senior Staff
416892,Shooichi,Vandervoorde,1965-01-03,1996-08-16,9999-01-01,Engineer
418309,Danel,Petereit,1965-01-24,1985-02-21,9999-01-01,Senior Engineer
418689,Gino,Uehara,1965-01-07,1988-02-17,1991-04-09,Senior Staff
418717,Arunachalam,Magliocco,1965-01-20,1987-12-23,9999-01-01,Staff
419099,Heon,Broomell,1965-01-15,1998-05-06,9999-01-01,Staff
419388,Nikolaos,Bamford,1965-01-22,1986-02-25,1997-09-23,Engineer
419953,Ung,Orlowski,1965-01-29,1991-07-22,9999-01-01,Staff
420086,Susuma,Kitsuregawa,1965-01-27,1985-05-28,9999-01-01,Senior Engineer
420476,Mariangiola,Bolsens,1965-01-28,1985-06-15,9999-01-01,Staff
420599,Hidde,Riexinger,1965-01-02,1986-11-18,1996-08-20,Engineer
420694,Frazer,Barbanera,1965-01-19,1986-11-04,9999-01-01,Senior Staff
420732,Willard,Morrin,1965-01-06,1996-05-27,9999-01-01,Staff
420877,Khosrow,Erez,1965-01-29,1990-02-11,9999-01-01,Senior Staff
421033,Garnik,Randt,1965-01-14,1989-12-23,9999-01-01,Staff
421039,Aemilian,Zedlitz,1965-01-28,1988-12-23,1993-07-16,Engineer
421384,Renny,Bednarek,1965-01-02,1987-06-01,9999-01-01,Senior Staff
422146,Kenton,Miara,1965-01-08,1999-05-14,2002-03-13,Engineer
422450,Junichi,Rubsam,1965-01-04,1988-10-30,1994-03-11,Senior Engineer
423038,Takushi,Strehl,1965-01-20,1988-10-04,9999-01-01,Senior Staff
423204,Uma,Stranks,1965-01-08,1991-09-13,9999-01-01,Senior Staff
423214,Tsutomu,Tetzlaff,1965-01-31,1987-09-24,9999-01-01,Senior Staff
423327,Constantijn,Lichtman,1965-01-27,1994-06-26,9999-01-01,Staff
423350,Heping,Monarch,1965-01-04,1988-04-15,9999-01-01,Senior Staff
423633,Mariusz,Tokunaga,1965-01-30,1985-02-11,9999-01-01,Senior Engineer
423993,Seshu,Kolvik,1965-01-01,1988-12-09,9999-01-01,Technique Leader
424569,Danco,Luff,1965-01-14,1997-10-30,9999-01-01,Engineer
424797,Theron,Itschner,1965-01-19,1985-05-16,9999-01-01,Senior Staff
424805,Jacqueline,Zallocco,1965-01-24,1987-12-17,9999-01-01,Senior Staff
424930,Xuejun,Reeker,1965-01-19,1988-11-18,9999-01-01,Senior Staff
424984,Vasilis,Waleschkowski,1965-01-11,1996-05-26,9999-01-01,Engineer
425535,Alagu,Vieri,1965-01-18,1986-08-23,9999-01-01,Senior Staff
425875,Jahangir,Kroft,1965-01-19,1990-06-11,9999-01-01,Staff
426153,Shahaf,Luce,1965-01-16,1999-04-06,9999-01-01,Senior Staff
426168,Kaijung,Mateescu,1965-01-10,1987-11-18,9999-01-01,Staff
426611,Serap,Bahi,1965-01-29,1986-05-15,1990-05-04,Engineer
426683,Xudong,Muntz,1965-01-03,1991-03-08,1996-04-02,Engineer
426795,Huican,Lunn,1965-01-07,1986-07-23,9999-01-01,Staff
426824,Gopalakrishnan,Mawatari,1965-01-25,1988-10-29,1997-12-07,Senior Staff
